city,country,population,# of Bars,# of parks,# of galleries,# of gyms,# of bookstores,# of fast food restaurants
La Crosse,US,137403,132,6,6,19,5,56
Napa,US,142635,441,384,177,777,115,883
Wausau,US,136010,74,5,2,16,4,53
Ann Arbor,US,361440,374,139,64,387,76,646
Bremerton,US,262877,1300,584,315,947,235,1200
Boulder,US,324108,1200,399,264,1000,149,1300
Albany,US,152566,268,52,37,163,45,323
Bangor,US,152658,45,17,6,13,8,42
Casper,US,82870,28,3,4,6,5,48
Columbus,US,316990,759,240,99,402,86,1100
Dalton,US,143925,144,43,20,68,23,350
Danville,US,78439,1000,1000,400,2400,339,2200
Iowa City,US,169088,197,44,20,73,20,144
Lewiston,US,62714,91,48,9,29,15,64
Missoula,US,115226,72,11,10,36,14,77
Ocean City,US,93755,195,20,20,40,12,154
Oshkosh,US,169773,275,21,15,59,16,176
Rochester,US,1075149,400,104,43,186,49,330
