,City,Country,Population,Bars,Parks,Galleries,Gyms,Bookstores,Fast Food
86,Oakland,US,2787325,8.610406034459563,6.457804525844672,3.9464360991272995,15.426977478406716,2.2674069224076847,11.480541379279417
87,Williamsport,US,115682,5.618851679604433,0.6051071039574004,0.25933161598174304,1.0373264639269721,0.6915509759513148,4.581525215677461
88,Akron,US,703561,8.727032908305038,1.918810167135472,0.739097249563293,4.022394646661768,0.8670179273723245,11.726062132494553
89,Chattanooga,US,551407,2.8291262171136746,1.0518546191832894,0.41711476277958026,1.3782922596194824,0.544062734060322,7.0002738449094775
90,Grand Junction,US,148848,3.224766204450177,0.873374180371923,0.6718262925937869,1.6795657314844672,0.6046436633344082,5.912071374825325
91,Hattiesburg,US,149558,1.872183366988058,0.4011821500688696,0.06686369167814493,1.1366827585284638,0.4011821500688696,5.68341379264232
92,Newark,US,2506862,23.535400033986715,5.185766109183513,5.584671194505321,18.3496339248032,2.5609706477660117,19.945254266090437
93,Gadsden,US,102537,2.3406185084408553,0.6826803982952495,0.19505154237007127,0.48762885592517824,0.09752577118503564,12.483298711684562
94,Staunton,US,119934,5.503026664665566,2.0844797972218054,1.167308686444211,2.5013757566661665,1.2506878783330833,11.506328480664365
95,Cape Coral,US,720949,5.4511484168783095,1.6644727990468118,0.8877188261582997,2.1915558520783023,0.5132124463727671,5.714689943394054
96,Phoenix,US,4662302,2.573835843323749,0.7571367105777361,0.5447952535035269,3.217294804154686,0.4053791453234904,6.2201032880323925
97,Jonesboro,US,129793,1.3097778770811985,0.3852287873768231,0.15409151495072923,0.5393203023275523,0.23113727242609386,6.240706355504535
98,Amarillo,US,263223,2.7733138821455574,0.5698590168792241,0.18995300562640802,1.2156992360090113,0.3039248090022528,6.420411590172591
99,Syracuse,US,655589,3.0811987388440016,0.6711522005402776,0.32032264116695064,1.586359746731565,0.24405534565101,2.806636474986615
100,West Palm Beach,US,1446241,3.2152317628942897,1.0924873516931135,0.6776187371261083,3.1322580399808886,0.33880936856305416,4.155600622579501
101,Battle Creek,US,133914,5.749958928864794,1.1201218692593753,0.29869916513583344,1.642845408247084,0.5227235389877085,8.587600997655212
102,Crestview,US,268298,3.876286815406749,1.3790635785581704,0.40999187470648313,2.3854072710195378,0.521807840535524,6.8207739155714915
103,Dallas,US,4791249,3.1307076714234636,0.9579965474555799,0.4591704584754414,2.9219938266618994,0.43203765865643806,7.722412256177878
104,Johnstown,US,134652,7.129489350325283,2.0051688797789855,0.5198585984612185,1.1139827109883254,0.2970620562635535,6.683896265929953
105,Muskegon,US,172890,4.685059864653826,1.1568049048527966,0.6362426976690382,1.4460061310659957,0.5205622071837585,6.131065995719822
106,Ocala,US,346358,3.0892891170407495,1.2703618799046072,0.2598467481623061,1.6168242107876822,0.3175904699761518,6.900374756754571
107,Pensacola,US,484608,3.4460842577918647,1.0936674590596938,0.47461040676175387,1.7127245113576333,0.3301637612255679,5.922312466983624
108,Winchester,US,134144,19.38215648854962,13.492962786259541,3.652791030534351,36.82609732824427,6.634661259541985,82.00143129770993
109,Asheville,US,451305,6.204229955351702,1.595373417090438,2.6589556951507296,2.7475875516557537,0.819844672671475,6.270703847730471
110,Las Cruces,US,214233,1.5403789332175717,1.1202755877945973,0.6534940928801819,1.1202755877945973,0.42010334542297406,5.414665341007221
111,Pittsburgh,US,2345496,4.0758969531391225,0.8100632019837168,0.3965046199183456,1.7821390443641771,0.3965046199183456,3.538697145507816
112,Roanoke,US,314014,29.58466819950703,8.025119899112779,2.3565828275172445,23.183679708548027,3.6622570968173394,73.24514193634678
113,San Francisco,US,4688840,4.6919920492062,3.4123578539681456,2.3459960246031,8.104349903174345,1.1772634596190104,5.331809146825227
114,Fort Smith,US,279567,1.3592448321869175,0.4650048110113139,0.10730880254107245,0.6438528152464347,0.39346560931726565,4.041964895713729
115,Mansfield,US,121064,5.2864600541862155,0.8260093834665961,0.08260093834665962,1.2390140751998941,0.9086103218132559,9.664309786559174
